Library,Commit,Root Cause,Date,bug report,PR/Issue,Violation,Impact,Action,condition,Fixing element,Fixing element detail,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/22783fdf812b700f7de9980038ab41ee0a4a2284,Boundary Value,2021-04-30 18:28:52,Add checks recently removed ,,Missing,Program Crash,add,Macro Checker,In Range Tensor Indexing,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/c59c37e7b2d563967da813fa50fe20b21f4da683,Edge Cases,2021-04-28 20:54:22," Prevent array write out-of-bounds. If user passes an invalid axis, then we copy one too many dimensions to the output in the loop below these checks. Even if we didn't do that, there will be further issues with an invalid axis, so we check for that right now.",,Missing,Program Crash,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/480641e3599775a8895254ffbc0fc45621334f68,Edge Cases,2021-04-24 19:51:15, Validate (and ensure validation sticks) inputs for `MatrixTriangularSolve`.,,Missing,Program Crash,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/d6ed5bcfe1dcab9e85a4d39931bd18d99018e75b,Edge Cases,2021-04-23 14:54:50,Add missing validation in QuantizedBatchNormWithGlobalNormalization,,Missing,Program Crash,add,Macro Checker,Shape Mismatch Between Tensors,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/4ea68093eeaf4c4157368668afd7f809b806a504,Edge Cases,2021-04-23 14:38:51,Add negative parameter validation to convolution layers. ,,Missing,Program Crash,add,If Checker,Valid Integer Argument,Integer Variable,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/1223335a8d34a8ce656dbd10b2a236ef6204ff47,Edge Cases,2021-04-23 14:35:07,Add negative parameter validation for recurrent layers. ,,Missing,Program Crash,add,If Checker,Valid Integer Argument,Integer Variable,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/64afe2d199ec4513223bbf5176835bf681cf056b,Edge Cases,2021-04-23 14:28:05,Add negative parameter validation to Core Keras layers. ,,Missing,Program Crash,add,If Checker,Valid Integer Argument,Integer Variable,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/551a90f2e3d20420d68a2796d19f1c42b6636e0d,Edge Cases,2021-04-07 8:50:41," Add checks in ReduceWindowOpOnTensorsConversion. The pattern does not support ops with non-zero padding config. Add a check to prevent unexpected lowering. It is not easy to add tests because other patterns will convert body ops, and it causes issues like invalid IRs.",,Missing,Program Crash,add,If Checker,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/1e5c11676dce37bb7c8eb58b35fd298a655c6fd3,Error Message,2021-04-05 14:21:08," [tf.data service] Include dispatcher address in version check error message. This is the error message that happens when the address was specified incorrectly, so it is useful to include the potentially-incorrect address in the error message.",,Misleading,Confusing Error Message,improve,Macro Checker,Improve Error Message,Error Message,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/e07e48b2e0908333a36f1c5726a9406a83b3ec90,Edge Cases,2021-03-15 16:04:19,Added a check on literal_.has_value() to avoid segfault. ,,Missing,Program Crash,add,If Checker,Object is Not Empty,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/582bf0d3ac33fc10156f737c0d42f3adee54409a,Edge Cases,2021-03-12 2:39:10," Update the tflite model ""buffers"" field checking rule. If we don't use ""--force-empty-vectors"" flag[1] for flatc, the buffers might be a null ptr if we serialize a model with zero buffers size(e.g. all ops in model doesn't use const weights in model). This commit relaxs the ""buffers"" null ptr checking for this situation, and also updates the ""subgraphs"" checking for null ptr dereference.",,Insufficient,Program Crash,extend,If Checker,Tensor is Not Empty,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/9b0f99ddd27e7738732a154be5469391ee8fc977,Edge Cases,2021-02-15 21:11:49,Add check to ensure element sizes are the same,,Missing,Program Crash,add,Macro Checker,Shape Mismatch Between Tensors,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/b1c9e600e02b93885dbebfa5dae92436c63d6c03,Boundary Value,2021-02-11 11:43:58,[XLA] Add range check for xla::Array<> indexing. ,,Missing,Program Crash,add,If Checker,In Range Tensor Indexing,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/3c80be9f2cfece929f5858e7df0e7f4503c9baec,Edge Cases,2021-01-14 19:01:39, [tf.data service] Support num_consumers being a Tensor. The `if num_consumers >= 0:` check causes an error when num_consumers is a Tensor in graph mode: OperatorNotAllowedInGraphError: using a `tf.Tensor` as a Python `bool` is not allowed in Graph execution. Comparing to `None` accomplishes the same thing without this issue. Once the forward compatibility window expires we can remove the check completely.,,Improper,Others,update,If Checker,Valid Integer Argument,Integer Variable,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/b6f3366a716ca9b5a1e6114a3bea050c80d8a475,Null Value,2020-12-30 17:42:46," Don't check for if null after already dereferenced. I'm not sure how it could be null at this point (and obviously it is nowhere else we'd have seen failures), but keeping the check as is and just moving it to where it would catch it before dereferencing.",,Missing,Program Crash,add,If Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/0666d8bb711b41c9f03dec238d7d165bc946fc70,Edge Cases,2020-12-14 18:11:16, Prevent crash of tensorflow if shape is too large for tf.sparse.reorder. This PR tries to address the issue raised in 45392 where tensorflow crashes if shape of sparse tensor is too large for tf.sparse.reorder. This PR adds additional checks and exit gracefully if the shape is too large.,,Missing,Program Crash,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/8cef4cda26e08256b6698e942820d9a3ac1bcc94,Edge Cases,2020-12-11 1:22:43,Add minor checks for data_format and padding value ,,Missing,Unexpected Behavior,add,If Checker,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/e7de472681079932b2547024f31c876da54f61a0,Tensor Quantization,2020-12-07 18:36:46, Fix a bug in flatbuffer importer that use tensor quantization before checking.,,Insufficient,Others,extend,If Checker,Valid Tensor Quantization,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/15c186bffe51901e4a48b4b6bf1316832533743f,Edge Cases,2020-12-04 21:17:13,Correctly handle the case if static maximum dimension size = 0. ,,Improper,Program Crash,update,If Checker,Object is Not Empty,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/d414a925a73553e4dd0d559d2d275668a298dab4,Boundary Value,2020-11-18 5:49:04, Check against the size of a std::vector to prevent out-of-boundary access.,,Missing,Program Crash,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/459b4bfe1f73737fae23aa1499b06a69605d0f65,Boundary Value,2020-10-26 20:56:11,Added a check in EagerExecutor to avoid getting invalid range. ,,Missing,Program Crash,add,If Checker,In Range Tensor Indexing,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/e1eb6d9cfa14368442f0d172a40f87ce4f094386,Null Value,2020-10-18 21:45:15,Add CheckArraySegments() to model verifier. Add additional logic to check nullness of array segments vector.,,Missing,Program Crash,add,If Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/0d65cfaab050295c311d9f2fb28388435359db27,Type Checking,2020-10-12 14:00:39, Add an additional NoneType check when converting a traced tensor to a `KerasTensor`.,,Insufficient,Unexpected Behavior,extend,If Checker,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/bd1f1ac1fec05d38f1b8fc98f650c1c55ac06790,Edge Cases,2020-10-06 9:04:33,Fix operator check ,,Improper,Unexpected Behavior,update,If Checker,Object is Not Empty,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/9ce847ed140702d1dd4cb204a8afe0ffedb70b15,Execution Mode,2020-10-02 19:04:32," Remove a few check ops that no longer need to run in tf.Variable's constructor. VarHandleOp ensures there is no sharing. These aren't a huge part of startup time for replicated models, but there's still no reason to run them.",,Unnecessary,Unexpected Behavior,remove,If Checker,Tensor is Executed in Eager Mode,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/402d478a107e2931fb0e9b2f08f973997cae7f98,Edge Cases,2020-09-28 17:04:28,Move the checking of ranks for early exit,,Improper,Program Crash,relocate,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/076ea8d84c2058b0d01d56dd9ddc3221a2e0c817,Edge Cases,2020-09-28 14:07:24,Also check dst_format,,Insufficient,Program Crash,extend,If Checker,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/9b947dd6377c022091c8aa005cdcff52c53ff5f0,Edge Cases,2020-09-23 15:04:10,Also check dst_format,,Insufficient,Program Crash,extend,If Checker,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/ce589223a5fa78cb12efaf1efd1d8d0e5507bd08,Edge Cases,2020-08-13 12:04:20, Update nn_ops.py. Added check for pooling_ratio,,Missing,Unexpected Behavior,add,If Checker,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/cddca76312f5ae4fb92a101e79eeff6d5ac16932,Boundary Value,2020-08-03 14:41:16,Add check for reading input tensors at an index that is out of range. ,,Missing,Program Crash,add,Macro Checker,In Range Tensor Indexing,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/e82a377de614fed51da8a7c5242a90a7967169f2,Edge Cases,2020-07-24 23:29:28,Correct axis check,,Missing,Program Crash,add,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/264eb6ed1dbfb5e078c7dd977da8d7e633106fc5,Computation Graph,2020-07-13 14:33:03, Fixed add bias transformation. Added check for convolution with dynamic weights.,,Missing,Unexpected Behavior,add,If Checker,Valid Computation Graph,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/26cd260fac5fa98ade11ff2a5ec38ede65631cc0,Null Value,2020-06-30 15:48:22,Add additional data validation while saving and restoring iterators. ,,Missing,Program Crash,add,If Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/a17858f3cc5e7ab4ebc2c166d71e7f85b2dad05d,Null Value,2020-06-24 12:54:27, Avoid undefined behavior by checking for null Operation in TF_Input/TF_Output,,Insufficient,Program Crash,extend,Ternary Operatory,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/1835465ac5a9c823f7187cb0dd5786da9c360838,Null Value,2020-06-09 17:07:19, Add error_reporter DCHECK back into SimpleMemoryAllocator. This check was removed due to an internal build problem.,,Missing,Program Crash,add,Macro Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/b68b869e75916e6de37c2ca23a93643faf333011,Type Checking,2020-06-09 16:59:23,Fix invalid keras tensor isinstance check,,Improper,Others,update,Type Checking API,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/0317f64491ba42376d96b157983a02d8b31b679e,Execution Mode,2020-06-06 2:02:56," Update RNNCell._rnn_get_variable to use Variable._trainable in TF2 mode. When using a legacy RNNCell in TF2 mode within a tf.function the ""var in trainable_variables()"" check led to treating a tf.bool tensor as a Python bool. This change makes use within a tf.function use the same logic that is used in Eager mode.",,Improper,Unexpected Behavior,replace,If Checker,Tensor is Executed in Eager Mode,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/70fd126d3afb8a1d00299c28ab234623d2b88704,Type Checking,2020-06-03 19:35:48,"In case user pass non-string as a tensor name, the code raises ValueError. One common mistake is to specify tensor object instad of its name. Unfortunately, in this case current implementation fails to produce an error message resulting in misleading errors like shown below. ",,Missing,Unexpected Behavior,add,If Checker,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/dedac5053f1ca2d6a7820e330714e50d2d724cee,Edge Cases,2020-05-28 0:45:36, Fix edge case bug in handling FP16 weights in XNNPACK delegate. Quasi-static tensors may become subgraph outputs after partitioning; we need to explicitly exclude them from outputs and treat as static tensors.,,Missing,Program Crash,add,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/07898e752cf02518508f193a0be2e451450044bd,Error Message,2020-05-20 14:31:08, Provide a more informative error message when the bazel version check fails. ,,Misleading,Confusing Error Message,improve,Assertion Statement,Improve Error Message,Error Message,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/db9b247cd1f3ff046359f7b64ca60c2d697fe2e1,Type Checking,2020-05-13 22:56:36," Fix the functional model loading with nested sequential model. The nested sequential model is created with _is_graph_network = False, the current instance check is not strong enough.",,Insufficient,Unexpected Behavior,extend,Type Checking API,Valid Object Type,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/0e3574d39c66d937fa9f9d2e25554aab0066f250,Edge Cases,2020-04-22 11:33:35,Add rank check to Sub op delegation to NNAPI,,Missing,Program Crash,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/4a8d8518fba1d70f63633775695f1a5189cd252f,Null Value,2020-04-15 19:00:49, Add checks that the Allocate function returned successfully. ,,Missing,Program Crash,add,Macro Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/01e84d7cc214dbf5a7a21bc418ad43afb5694fbc,Error Message,2020-03-31 12:34:49, Update error message for data_adapter with validation split. Remove the user provided value in the error string in case it contains large amount of data. Dump large input data to log might crash on user side.,,Misleading,Confusing Error Message,improve,Assertion Statement,Improve Error Message,Error Message,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/f61175812426009a4c96e51befb2951612990903,Edge Cases,2020-03-26 14:25:22,To add a check of input_dims greater than zero in embedding layers. ,,Missing,Program Crash,add,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/48393637f8154be16088d84742485a0e153ecbb2,Edge Cases,2020-03-03 1:58:36,Change check to allow tensors with up to 6 dims.,,Improper,Program Crash,update,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/a0fe44410e875e8e7775c6c256496bafb1a41b25,Edge Cases,2020-03-02 12:07:54, Remove the check of NodeItem exists in unfinished_nodes_ in node callback. This fixes the failure of RemoteAsyncTest.test_out_of_range_with_while_loop in DEBUG mode.,,Improper,Program Crash,replace,Macro Checker,Valid Integer Argument,Integer Variable,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/a7908e924af3105c3007988e219855174b26774f,Null Value,2020-02-25 18:55:18,Added check for output buffer ,,Missing,Program Crash,add,If Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/2adf1114d4dc7ca30e5117acd2dc7aeb3279feb7,Tensor Quantization,2020-02-14 21:35:27, Make NNAPI delegate only apply overflow check to quantized average_pool,,Missing,Numerical Error,add,If Checker,Valid Tensor Quantization,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/d79c4d435fc6e7be6cc69a3ca446716ebf6190b9,Type Checking,2020-02-14 21:24:46,change default value of num_threads to Non. set num_threads before delegate. check the type of num_threads before setting it,,Missing,Program Crash,add,If Checker,Valid Object Type,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/be5116dd131a92da298dbb68d26e0d47f66f2fe5,Execution Mode,2020-02-13 15:15:20, Correct graph check in broadcast_to gradient. ,,Improper,Unexpected Behavior,update,If Checker,Tensor is Executed in Eager Mode,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/5bc536f1afbaff5d3d5a14a9185cd1e3cc31b302,Type Checking,2020-01-07 20:21:14,[Fix] bug fix during check static shape.,,Improper,Program Crash,update,If Checker,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/ba91c04e001f417641e757a6417e5325c1c4e15e,Edge Cases,2019-12-19 15:09:00,Add more check to sparsity parameter verifier.,,Insufficient,Program Crash,extend,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/cc560f64b6e3e6724517757e9789c52cde224ee9,Edge Cases,2019-12-13 20:22:18, Profiler: restore correct behavior of StartTracing with empty workers list. absl::StrSplit behaves differently from str_util::Split when the passed string is empty. Restore previous behavior by explicitly checking for an empty string.,,Missing,Program Crash,add,If Checker,Object is Not Empty,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/4863013a3ec5b97c042a38ab567bcc4a62ccde5c,Boundary Value,2019-12-13 19:34:20, Add checking for number of inputs in GetOptionalInputTensor to avoid indexing out of array bounds.,,Insufficient,Program Crash,extend,If Checker,In Range Tensor Indexing,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/3e0152a8b4aad03dd06274e0dd3b94bd5f8bf5d3,Others,2019-12-04 22:40:35,"Fix invalid syntax error when import carla is present. The issue is that, when `import carla` is invoked, I/O operation for `std::ostringstream s` might fail, which caused the conversion of AttrValue to string as empty. This PR check `s.good()` to make sure the I/O operation is OK, and, fallback to normal conversion if locale-neutral I/O operation fails.",,Missing,Unexpected Behavior,add,If Checker,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/f482488b481a799ca07e7e2d153cf47b8e91a60c,Boundary Value,2019-11-21 19:37:21, TFLite OpenGL ES delegate: out of boundary writes fixed for bhwc->phwc4 conversion.,,Missing,Program Crash,add,Checker API,In Range Tensor Indexing,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/677866210941431b82c95d58d0798976bb40a415,Null Value,2019-10-28 3:30:19,Add a nullptr check for the tensor quantization field,,Insufficient,Program Crash,extend,If Checker,Valid Tensor Quantization,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/a680ed0bf03d5ca3b2c4a70c0d95eeebc20da6d6,Edge Cases,2019-10-17 20:10:41," For Substr check pos and len rank equality only when their rank is known. This fixes a bug where len has unknown rank, while pos has known shape. The WithRank(...) check returned error in such a case. Here we compare their ranks only when both pos and len have known rank.",,Missing,Program Crash,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/7f9929732ced22fe8ef42a695dae39c1caf44608,Edge Cases,2019-10-14 23:20:18," For gather op, if params.shape[:batch_dims] is not the same as indice s.shape[:batch_dims], return an error instead of check fail ",,Missing,Program Crash,add,Macro Checker,Shape Mismatch Between Tensors,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/ab0a5278d81ef34096775d5d56f11694cca2a785,Edge Cases,2019-10-05 3:18:42," Fix tf.assert_equal issue when one tenor is empty and another is non-empty. This fix tries to address the issue raised in 32082 where tf.assert_equal([], [1.0]) doesn't raise error. The reason was that in assert_equal `[1.0]` was broadcasted as `[]` and equal was in place in that situation. This PR updates the _binary_asesert so that it will check if x, y are both empty or both non-empty. If one is empty and another is non-empty, then assertion throws exception. This change is to not impact other ops that depends on the broadcast behavior.",,Missing,Program Crash,add,If Checker,Tensor is Not Empty,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/ed06859189722af4dc8e4abd655926df066e587a,Edge Cases,2019-09-19 5:01:25,Add format check.,,Missing,Program Crash,add,Macro Checker,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/c040db5e9003cc20016586df9f2964db83b98c4f,Edge Cases,2019-09-12 20:48:49," [XLA] Add a defensive check in dynamic dimension inference to prevent scalar reshape with dynamic dimension. In theory we can just ignore a [1] -> [] reshape, but adding a check here for now.",,Missing,Program Crash,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/0197a2d8a3070af763cb67227835ee63df095e6d,Edge Cases,2019-09-02 19:57:38, Add a check to catch out-of-bound access on invalid Graphs. The existing Check trying to catch malformed graph is not robust when an op is registered with an expected number of inputs but has data edges beyond this.,,Missing,Program Crash,add,If Checker,Shape Mismatch Between Tensors,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/e009644f034fa0ca4df910a812432cab3458d440,Device Version,2019-08-16 0:20:41,Add one error check in cuda_dnn for int8 to float convolution. ,0,Missing,Unexpected Behavior,add,If Checker,Valid Device Version,Device,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/b86513673b98ac6c4458033fcda718365539afae,Edge Cases,2019-08-13 14:32:38,added check for zero stride values to strided slice ,,Missing,Program Crash,add,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/a607eb012b1bc4f6dbe263ad99caa76d84ae3ab2,Edge Cases,2019-08-12 13:38:29,fix output shape check for strided slice always failing when stride != 1 ,,Insufficient,Unexpected Behavior,extend,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/b234ff0ee4ce87d21a3e5306b678e1fb4b1fedfc,Device Availability,2019-08-06 12:59:40," Fixed division by zero, by checking the number of GPUs in GenericLayoutOptimizer.",,Missing,Numerical Error,add,If Checker,Available Device,Device,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/9baa064387b0a114c3fcec88abaa0568834e8e34,Type Checking,2019-08-03 10:37:29, Only apply check for non-tensor case ,,Insufficient,Unexpected Behavior,extend,If Checker,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/9c14f6ba30d96241978188998de47a388822365f,Type Checking,2019-08-02 20:44:03,Only apply check for non-tensor case ,,Missing,Unexpected Behavior,add,If Checker,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/30bd9d5bcc64097d21872486a5726d756ed7067b,Type Checking,2019-07-31 18:32:21, Explicitly handle Tensors in start & stop. The current check was doing a identity check in order to handle both tensors and integers. This becomes problematic when enabling tensor equality. Instead we explicitly check for Tensor type and only compare with sys.maxsize for non-Tensors.,,Insufficient,Others,extend,If Checker,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/89fa1ae2cb34eab0e6137e72e6fab01f6c5bc164,Null Value,2019-07-26 8:53:20,Fix check for cloning FunctionLibraryRuntime,,Improper,Program Crash,update,If Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/150a6c06b281246cb5a075a704fceeb257bb63af,Edge Cases,2019-07-23 22:53:07,Add a check on the 0th dimension of filter for DepthwiseConv.,,Missing,Program Crash,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/3a7b36bca7f43ce4f0d0791ce0e0d84ece8683d9,Null Value,2019-07-23 11:12:53, [Grappler] Remove DCHECK from a MutableGraphView CanDedupControlWithRegularInput check.,,Improper,Program Crash,replace,If Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/2e4d3951eb618a7c34d5e629fc2506ea2a62b4a7,Edge Cases,2019-07-01 9:53:56, Correct Tensor order for dilation2D. `gen_nn_ops.dilation2d` seems to be in `NHWC` while the parent function was asking for `NCHW`.  I corrected the doc and the check.,,Improper,Unexpected Behavior,update,If Checker,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/467730fe90282a75f15f67d701b278e86cfad65e,Edge Cases,2019-06-22 21:53:59,Fix dimension check for tf.keras.losses.BinaryCrossentropy. The reason was that broadcasting was applied directly. This fix adds dimension check to throw an error if there is a mismatch.,,Missing,Program Crash,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/1c49c13ba59961cf7581e3e29b951db8faca94f5,Type Checking,2019-06-17 5:56:00,Add type check for reduction axis in reducer operation. ,,Missing,Unexpected Behavior,add,Macro Checker,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/43a8963c73718f97a4425722a65b611d2ef0b69f,Edge Cases,2019-05-23 19:04:02,Added non-negative check for n. ,,Missing,Program Crash,add,If Checker,Valid Integer Argument,Integer Variable,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/1ff493ed1a2059f82f7607a7f0a0aa2ce8d5a542,Edge Cases,2019-05-03 15:05:12,Replace a defensive check with TF_RET_CHECK,,Improper,Program Crash,replace,Macro Checker,Object is Not Empty,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/867a918bd3d40afeca6b96430671a098134e7905,Device Type,2019-05-01 22:18:07," CUDA Driver: do better error reporting if checking the pointer properties failed. There are many reasons why an operation can fail, propagate the error instead of assuming the cause.",,Missing,Unexpected Behavior,add,Macro Checker,Valid Device Type,Device,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/3acc8eaf602b3e9a009f54e1e0164644dd793831,Edge Cases,2019-04-28 4:06:23,Add sanity check for resize-bilinear input shape. ,,Missing,Program Crash,add,Macro Checker,Tensor is Not Empty,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/f54bc43f1117004208df6da34e422bf628fc3c23,Error Message,2019-04-25 17:51:27, Update error message when tf.functions cross merge_call boundary when using MirroredStrategy,,Misleading,Confusing Error Message,improve,Assertion Statement,Improve Error Message,Error Message,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/7008e41f183ae9de3f4656067932b36afa822ef2,Edge Cases,2019-04-22 22:11:37, Fix the check for empty reduction indices. In the general case indices can be any rank.,,Missing,Program Crash,add,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/236660d0fccff6f59f29a1936dc731d783722e28,Edge Cases,2019-03-29 18:32:56," [XLA:GPU] Fix host conv checker canonicalization for f16 and nans. The GPU-side checker is correct, but the host-side checker was canonicalizing nan to F16_MAX.  The effect of this is that you'd get a ""conv mismatch!"" error but no description of exactly what mismatched.",,Missing,Unexpected Behavior,add,If Checker,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/04b97cde86550995da57d16d81084006456ccce5,Null Value,2019-03-25 22:42:20,Fix segmentation fault with tf.stack an keras's Input in TF2.0. This fix adds the `PySequence_Fast` and checks the return value to make sure it is not nullptr.,,Missing,Program Crash,add,If Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/31849c61e0432009baabdfafc2ec1a1aed1a40e8,Edge Cases,2019-03-22 15:14:52," Small change in tf.nn.sufficient_statistics to guard against unknown shapes. Use is_fully_defined instead of checking shape.dims[d] as the dims variable may be None, if the rank is unknown.",,Insufficient,Program Crash,extend,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/bf686faeddcca97be6ad7b6421cb26ab1c3cea2c,Edge Cases,2019-03-20 14:50:59,TFLite: Enhance input check for ResizeNearestNeghbor,,Missing,Program Crash,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/ed043aec4962dfdc3c58e2ad90dacb557dafcf4e,Null Value,2019-03-19 10:29:10, Lite: ResizeTensor Dim size check added to avoid reallocation if no change,,Missing,Program Crash,add,If Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/c2cec131f107fde9c54f48a9b74248617d850549,Edge Cases,2019-03-14 13:58:26,Add the shape and dtype validation for TensorDatasetOp,,Missing,Program Crash,add,Macro Checker,Shape Mismatch Between Tensors,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/b8c517ab4ef0bd851ef2f8187935fd3a90261af5,Execution Mode,2019-03-06 7:26:33,Reinstate eager check inside _GradientsHelper,,Missing,Unexpected Behavior,add,If Checker,Tensor is Executed in Eager Mode,Tensor,,,
